lax.zc,lay.zc,laz.zc,hax.zc,hay.zc,haz.zc,lmag.zc,hmag.zc,lpc1.zc,lpc2.zc,lpc3.zc,hpc1.zc,hpc2.zc,hpc3.zc,lax.p2p,lay.p2p,laz.p2p,hax.p2p,hay.p2p,haz.p2p,lmag.p2p,hmag.p2p,lpc1.p2p,lpc2.p2p,lpc3.p2p,hpc1.p2p,hpc2.p2p,hpc3.p2p,lax.rms,lay.rms,laz.rms,hax.rms,hay.rms,haz.rms,lmag.rms,hmag.rms,lpc1.rms,lpc2.rms,lpc3.rms,hpc1.rms,hpc2.rms,hpc3.rms,lax.kurt,lay.kurt,laz.kurt,hax.kurt,hay.kurt,haz.kurt,lmag.kurt,hmag.kurt,lpc1.kurt,lpc2.kurt,lpc3.kurt,hpc1.kurt,hpc2.kurt,hpc3.kurt,lax.skew,lay.skew,laz.skew,hax.skew,hay.skew,haz.skew,lmag.skew,hmag.skew,lpc1.skew,lpc2.skew,lpc3.skew,hpc1.skew,hpc2.skew,hpc3.skew,lax.cf,lay.cf,laz.cf,hax.cf,hay.cf,haz.cf,lmag.cf,hmag.cf,lpc1.cf,lpc2.cf,lpc3.cf,hpc1.cf,hpc2.cf,hpc3.cf,lax.vrms,lay.vrms,laz.vrms,hax.vrms,hay.vrms,haz.vrms,lmag.vrms,hmag.vrms,lpc1.vrms,lpc2.vrms,lpc3.vrms,hpc1.vrms,hpc2.vrms,hpc3.vrms,lax.ent,lay.ent,laz.ent,hax.ent,hay.ent,haz.ent,lmag.ent,hmag.ent,lpc1.ent,lpc2.ent,lpc3.ent,hpc1.ent,hpc2.ent,hpc3.ent,label
7.0,6.0,11.0,40.0,36.0,34.0,5.0,32.0,6.0,5.0,3.0,34.0,38.0,40.0,358.6578961818634,460.73485661678865,216.4124397578089,408.8338187174029,701.188737589931,434.06574011541534,459.42281215548473,626.7873487411694,3.2898412332560945,4.271087756493188,2.5865398164194544,6.6654352958923475,3.722565716868595,3.643905192133471,99.49774916040181,92.73495097003693,41.71593747429923,58.36126094027017,83.26557830748376,68.5698429002557,91.31901307899417,73.07566379479726,0.848587372125971,0.7856099264444257,0.5229904632652649,0.8701820136100691,0.6253541532963088,0.5724273713797311,-0.45020041478798767,0.4470645904261281,0.6360994644503628,4.482415995238944,10.264212976636546,2.8467399148040258,0.5028450549509129,8.157991496372572,0.05803972033806515,0.7135621306542363,-0.1995587488925734,9.679921193820617,3.043840706985888,3.865534078521563,-0.8270951396973766,0.32480451475394845,0.6606752091180026,0.7001520639407801,1.6346119576408098,-0.12723541510134637,0.6088683648250629,0.8457958319531703,-0.8560542801064247,-0.32567376144492866,-0.7174343800401051,1.7205310642101859,0.8261161975348108,1.1424698292331594,1.3593563599211451,2.815712208307207,2.7965515622079393,4.411752550465441,5.320304780377711,3.1747050745128287,3.3130198775661315,4.777807430777231,1.452999115783993,2.211109439090662,1.9255725312786072,5.357992264864173,3.583100928988142,4.185889961263168,27.01683700969392,26.6965121336325,12.290613710002475,1.4630725340201045,1.5413736635743813,1.573020196901916,15.307973741256928,2.0724883423265377,0.18854634394578138,0.26946400890626626,0.13952325928298187,0.014533690810059743,0.015543493985773304,0.016319633562077576,2.101688448171405,1.9285342344191216,2.01223577801138,1.6002243985493014,1.4079769396888326,1.7322422877639445,2.0278511469015186,1.3186742625784134,2.113983708106836,1.90743257169453,1.899299687171812,1.5054330687508188,1.7590845565156197,1.7100517000169657,1.0
9.0,8.0,10.0,38.0,37.0,34.0,11.0,40.0,6.0,13.0,8.0,30.0,37.0,42.0,474.9096456539555,715.5610074909641,626.9031509508218,987.7724627215107,797.4729768869731,1970.8580608402954,234.05474124839247,1428.0594054512985,3.8054943442433014,2.360235222181488,2.0483097340091123,8.635247638055713,5.9770137264473995,5.181740008967207,69.04624755821123,162.3709182177041,119.05756358144131,124.41790720536676,116.52089772483583,207.6134765719407,59.69124998076892,161.83446422523124,0.8660827509536443,0.38524054422610227,0.47998232195168167,0.9070962068642805,0.8136668300381507,0.5665577084135167,8.982371476095722,0.11657639874522063,1.6480675600455745,7.760971846045521,3.583807936520625,28.147619886430252,-0.6508168210863778,11.161329594198293,-0.3183296459006799,4.291049294329982,0.034952189747313955,16.154668046762943,4.4030427997144015,10.675450821472579,-2.285214100845717,-0.3153534426429474,0.625124630508505,-0.7261173928296086,0.6369007416429497,3.621490597797896,0.4786250748466616,1.1196261891186423,0.18039528245238864,1.6137894118860385,-0.3712271292123254,1.5474615613232894,-0.5026844921191733,-0.706474255980034,1.8919270421011714,1.8249225426636433,3.019513255457815,3.1779741550899474,3.69891082420359,6.831076839189895,2.186159789239138,5.199148625845937,2.181140798834058,4.392746804273292,2.061550372817549,5.763284112610334,3.4998563070918687,4.10426793878853,17.265505398499055,34.13943479407111,15.286651784126501,1.9960584078567338,2.5598584968606546,4.28200203504304,8.179323165669844,2.1625739609061254,0.1882188910372635,0.049916762973198976,0.09646539379667377,0.01825778643674352,0.016802633637636018,0.007110754147169751,1.457701275982594,2.0605375423451293,1.8402770088633795,1.3387669704609693,1.6696215701862998,1.0631036029978331,2.173875961391841,1.2625018782097226,2.1345399211580762,1.7257616709667178,2.0853448067551352,1.1018889909652112,1.6042204203822463,1.1538101994835568,1.0
2.0,1.0,4.0,37.0,42.0,38.0,5.0,41.0,4.0,5.0,7.0,38.0,40.0,37.0,222.3836494880302,626.1562014225015,611.5193030879989,152.34366024295286,205.7939571761001,399.9867907277958,489.9547993163328,244.60815069070486,3.8316938982604865,4.369059596552077,1.8246622987472736,2.023046083415203,1.4171036713061258,2.3807655945779533,68.81300139777443,144.83141684191344,143.64744320825244,31.875852617443687,40.04295236295099,62.105584952667726,149.20692280725436,45.464492076905394,1.206306019652332,0.9094825116745399,0.4927065903554842,0.36601853243592203,0.2429104300973761,0.4502821983705406,-1.0888784856851481,0.10241120535388193,-0.3950015241084812,0.10379550425296014,0.313239741823768,1.4390209900684159,-0.8568070763788631,0.5272335451156316,-1.1339422238216346,1.8251826071971546,-0.6920738412468257,0.5511588165178583,1.6081265129769822,0.6603323544171324,-0.6229287021621766,0.38422869810494426,0.17839253586663123,0.4736674910871863,-0.05032891004679933,-0.4212865277543677,0.3483379745388462,-0.10404418566311625,0.45248581582633907,1.0199782912230437,0.4840390890539792,-0.050566990111184124,0.3142813526438663,0.6341991914950643,1.4351709920682456,2.06617752316406,2.486206696105342,2.817988877788105,2.6423737324399554,2.8633453493192347,1.8324214351238928,2.7702709683452764,1.7027483912688954,3.087175999074417,2.0532504136224423,2.4540102332866813,3.062180884729384,3.1609443084979714,22.288484060414852,57.93835197150088,31.17045628226,0.5308997258442926,1.3267490593117626,1.514485108125421,60.41020522996728,0.6626437681215551,0.4278037315280134,0.27552143325077366,0.09040344590829981,0.005286623370244561,0.009988935537922844,0.009298708825549699,2.038530401488672,1.8406848496928465,2.0955036924416737,2.0126889051388765,2.0420896330895975,1.8000090749244977,2.083284797241552,1.96970753013549,2.129732377059148,1.8776770865319135,2.2202295041246836,1.953709434968362,1.8973697148387423,1.9227249791568715,1.0
9.0,7.0,3.0,39.0,45.0,44.0,5.0,50.0,3.0,10.0,11.0,55.0,35.0,44.0,333.97948377541957,298.31719967134154,377.0336073054741,566.3443700118014,371.1599661319369,568.3625408067373,413.15495255399674,410.1819750330592,3.3220889101681257,2.7523365978517393,1.5512066171476435,3.8340975583118224,5.58092434145536,2.6221707157396597,92.40596363751273,85.34140390590262,103.30620868572835,79.00691666373659,61.89060783751854,82.68947795174348,135.9258339827103,58.074318637372066,1.1221347617901305,0.6542223103117115,0.35396946692644665,0.6046976748980829,0.7381135620511721,0.47809897838970483,-0.7531836079784022,-0.9097753048267494,-0.6711242485006035,4.448414054969933,1.937521926703532,4.178114062160486,-1.0605816497538152,3.3880738466289575,-0.9600764259596888,-0.29297855282734986,-0.5799775748048219,3.207727316429164,5.429781204280516,0.7388732437084711,0.5416682399012727,0.34426529380740173,0.7343726636374264,0.5293091809251632,-0.5947052369337712,-0.30306573603145287,0.6957246057747543,-0.050595915812185144,-0.7894592138547966,0.4188736634440384,-0.11444518649799704,0.3423346091336719,0.5922038806693168,-0.16312835462468117,2.076757431051377,1.8248285667559827,2.087311224723294,4.2889001769538675,2.6847340260907724,3.261823948645906,1.8693954661340133,3.1510257142079663,1.1436032899560395,2.462804620296504,2.132371209599755,3.446198491182496,4.418487565477621,2.27314525609861,20.04702344349492,30.00749726785358,37.31486203694714,1.4066463036548715,0.9919154228942607,1.2123842376941054,48.317749815395,0.8378500080360057,0.4227888598699053,0.06364662662336341,0.04058659139761781,0.007668258233609843,0.013372270359384092,0.007999814843085715,2.174734850686016,2.190619216785096,2.054334359293857,1.5630644305055257,1.8442303191283669,1.5793478617697396,2.0257027833948,1.6335785678786225,1.9869957097377569,2.1698792955519663,2.155215830959535,1.6540532924876254,1.42512513718145,1.9001980215552736,1.0
7.0,6.0,9.0,30.0,38.0,34.0,6.0,32.0,4.0,5.0,8.0,36.0,32.0,36.0,248.59432439953162,397.2136497670381,238.8835456985919,618.5283798991447,598.0391748941247,600.5155987821838,262.83426812479547,510.3387312392988,3.1732127062312636,2.590292820367062,1.9683234925574702,7.914078480295954,5.5275637604656325,2.903197604835745,63.34092904561916,84.4111982410175,46.095672695500994,87.34195864072305,83.65664915030676,87.02420366151004,49.28760247145805,74.72880128659736,0.8049391985427319,0.5124927708517818,0.35117308381228113,0.9451998713160444,0.8306098435393527,0.5266545271622184,-0.5415434929429708,-0.24294112880379215,1.0921248734877986,8.456331376244163,10.972718204626243,5.822925276243183,1.4496321623672124,3.2752724320653304,-0.8012895036559993,1.5284024826368077,1.6640708498213437,22.25998564920178,4.345740704064402,1.6824504143507646,0.43633550572374513,0.4345652216724015,0.974649109206932,-1.965010598673975,2.124846174149611,-1.4867455084652974,0.8185274259291835,-0.6940581044603478,0.10959962912542502,-1.1802240173170697,-1.0309270071040724,3.4693249759959097,1.1722092762224177,0.7662910047293999,2.1706315698166354,2.9551880144203397,3.097668527930626,1.8866733015361468,5.551855832917424,2.6835279995860506,3.8512857223407972,2.779172570689531,2.0804571692554212,1.4053886623216203,1.7987535812561577,6.516976248209085,4.08808450926064,3.3371641625410886,21.423697704078617,26.245838565988606,6.046369347634241,2.2626522058446232,1.6294742114077838,2.3447423860808025,9.537848255756098,2.826362372450406,0.27989223159069926,0.09889152567776681,0.04253591953214999,0.01768199557108798,0.025157219346855702,0.014305791756021391,2.199179142674218,2.050928887188314,1.976532423820176,1.5241358814010688,1.5078038284179873,1.541747875380222,1.8552843817253248,1.688097982097527,2.217594749432047,1.8823126551908063,1.848576072189882,1.2974299273673904,1.6717131589642338,1.8596991305327817,1.0
6.0,8.0,12.0,34.0,37.0,32.0,12.0,37.0,8.0,8.0,6.0,34.0,35.0,39.0,231.16595628950358,342.39584485929777,329.146768810637,653.5685558437572,405.78541685984055,1630.483853586747,175.91774698973313,763.0349520308023,2.2184153149542594,2.911808469581109,1.4421142843394725,9.084703850962674,4.109659008648591,5.195721120289464,63.12903416788431,81.49990917402165,71.83085035367475,95.13668508385899,78.08492172532682,197.02341799654923,42.69883962370899,114.64990389298458,0.5564133266429981,0.7089138328639069,0.33714380115848325,1.0685708600112287,0.6631449005875009,0.6661618011415964,-0.7261373171859091,-0.3916336397914493,0.21648583562621004,5.223631157153189,0.5222390653578821,10.43770098254841,-0.7007129382355157,3.332483966932058,-0.5564626521888263,-0.5053782142219414,-0.05699287159070776,9.733201434284636,1.7644612571023046,5.888612549098543,0.5622803750421251,-0.5366318353807668,0.5821141028117388,-1.0126959790812446,0.4558124052709534,1.5362439624302777,0.12132554098641231,0.5155321213910556,-0.560069098246574,-0.48627400956978134,-0.507281882189609,1.1682209824385998,0.3773875709882152,0.6149054941974014,2.2011498301953156,1.6276499133144247,2.7999717624404044,2.8787408039657927,2.889744846414225,5.262409745854763,2.169233972913597,3.587405328775259,1.6396548805865874,1.7607077917137754,1.7267984767275997,5.124888658682729,3.06221544923014,4.63555656543834,13.007470589614698,14.285784191214704,6.444433001841655,1.4829084629490072,1.430522660320362,3.0572963540985767,4.254688120582958,1.7631481124682984,0.11727325987731123,0.1105191985000008,0.058094273464826256,0.016523693402093115,0.012484979116178966,0.01022365772065648,2.184294880780341,2.1230390390785265,2.072594752306191,1.5037212415212826,1.9499804502360116,1.314657530117615,2.2086339004403475,1.6424227538493597,2.2097573061397884,2.1529449771924942,2.0941456610043594,1.374860626438832,1.786312798715274,1.5061607520410891,1.0
1.0,8.0,5.0,40.0,39.0,28.0,3.0,43.0,3.0,12.0,11.0,38.0,34.0,32.0,247.04131610912418,232.95323477766578,277.7680542031519,217.1220170870406,310.1395590864636,217.84676897342206,236.70256597134312,222.07042301111733,3.4020208550026254,4.035903650403044,2.484932712961851,2.792223658568826,4.409807913176147,2.6354092139653806,72.98880763719762,38.03794918054033,71.28733076949459,37.026288383595045,49.701559873501836,44.755624325061746,76.69087636289463,40.6636916083832,1.0715506869002955,0.6406244614861525,0.5584976293957021,0.48688330750148623,0.7717002787116191,0.540519413892319,-1.0089018164897192,1.8064291262047911,-0.20634787959938494,1.625811308968208,1.686780987782007,0.23950140742452541,-1.4007106179835123,0.9926232116006006,-1.4593711194794303,3.9590247327231634,0.15663012779920793,0.7951511256871369,0.7699845851384435,0.4097095851207664,-0.5321755464639822,0.23003343078213945,-0.7204952303945172,0.42838291494606745,-0.11113023017478611,-0.033721068194952,-0.3415198736220615,0.09276582240949599,0.3032267334501967,1.130432138251281,-0.5926022236359705,0.16249328718356126,-0.3216107265085039,0.18507671492237784,1.4819559424424051,3.7970305206033443,1.4012584546207776,3.0852387801628436,2.8915444728485418,2.3773684332010228,1.3602662639692016,2.791017430237176,1.7609071674441512,4.319731856577554,1.934085640591359,3.09533055237331,2.532492721732853,2.3748928393842785,31.88473629076542,6.918929971710012,23.982440112816487,0.9370237225268215,1.102679861671833,1.114448463423325,33.575426009021946,0.6722058417968827,0.47741473532641204,0.0913435754288935,0.08725202705266237,0.010510390589614123,0.020024472361709057,0.0103666075042356,2.1789639132945138,1.801731305581085,2.151255347327288,1.8568023116788654,1.781605667213542,2.0641885214930507,2.1651631902741273,1.9677545512444126,2.201994681025474,1.7668493519303015,2.09196732565256,1.885217670262137,1.9504703375543198,2.0179643540250716,1.0
7.0,12.0,8.0,42.0,40.0,30.0,4.0,34.0,12.0,8.0,11.0,36.0,34.0,36.0,199.3218216353148,328.24306558804346,151.60357702240185,779.8728534853531,713.5207668312514,516.8907288740891,194.89100697415688,573.6909177921734,3.6551284939176374,2.453356288441246,2.2620929748882643,11.851608888615141,4.427173886429184,5.182552706027165,45.30815839320479,42.6422433820437,34.52515327078607,75.02822419693122,79.30013743508685,72.64447945430427,47.39328211046152,64.39217510476713,0.39977173092486995,0.5611816981961102,0.4524461080988526,1.233725880352357,0.6058314058286993,0.6672284142480207,0.5937047488103881,9.320429097382672,-0.5475619920128572,30.48495140948141,23.80307571405501,4.623522137158297,0.24668749245112576,19.132965682123316,19.368492850662715,0.20911568213992382,2.9685045827775918,15.616288612672061,5.999714773083536,4.928533541123513,0.6997887844273034,1.9095324444517927,-0.26860397600646035,3.197756137776661,3.18232414202314,-0.3388561188400715,0.7370530080539708,2.5664547618956215,2.5152107724153363,0.37003043575550293,1.4145157324625461,0.8119240345012471,0.733695579937266,0.40640700210379693,2.5463688633672543,4.157082382968578,1.4223539539461554,6.837064561473563,6.5533359696885105,2.9043764411842905,2.4713861006801445,6.217963070169473,6.181567174542495,2.4522896101985086,3.448051469489059,5.51709806486816,3.8645699228984483,4.168087593744824,16.159238003670794,5.746614373549699,8.48176920493765,0.9918145514939215,1.2924730512085234,1.3205245948701063,16.752273246625062,1.0939380356490631,0.027762561592682783,0.2112530479912865,0.06507697882598472,0.020808786247184508,0.00880059141637819,0.009745606708773908,2.0260375394363446,1.1209784806128675,1.8988664341394763,0.613761377763481,1.0220729956361199,1.6131559837435918,1.909112316847994,1.2101858140069242,1.1418682877759743,2.0202291508059935,1.875548561677933,1.0172253862013096,1.415446568973103,1.5310643095758711,1.0
7.0,11.0,5.0,34.0,33.0,31.0,3.0,32.0,5.0,12.0,4.0,32.0,32.0,26.0,216.08817804772457,297.0557198062529,387.5906743595526,196.50083234692283,747.0690769890398,250.72541714246222,321.7420342241394,581.2890092482676,4.695547422633551,2.7607373346986988,1.8624525479244776,5.9438503254657915,5.375480896715329,1.7280108405025492,57.25059062662827,55.88722991106183,100.89684083114552,28.72641135454212,90.03893955489511,43.68589552110258,66.64447027231219,67.62543588288588,1.1407779260670463,0.6023171202000629,0.47140005568997473,0.6518195993275026,0.705955576788056,0.3654591308508487,-0.049557030199240515,0.8551026272695506,-0.8589946106581801,4.489184610456339,18.462105453794077,1.463135826122679,-0.14566380567505055,18.79576157067686,-0.7555344513572324,0.9516360531349775,-0.6334892122573059,13.33224159052427,12.182099126411607,0.062385165814870636,0.6953661449884361,0.7133038202741607,0.19606357479619968,0.9579871192692612,2.9083860415503375,0.45615997884444487,0.20521425091406584,3.0129648475713324,-0.15903509595380702,0.9739160174334018,-0.5639500594789316,-1.4899166014665557,2.302257991246951,0.23145173429638563,2.347224238074582,3.5992507148350565,1.9663509574614852,4.515604543920603,6.207107611402135,3.6457812359826614,2.9383130299814124,6.23978696126869,1.7545473944946668,3.0360139341608434,1.7065213148776355,3.5476249249576726,5.668075575423094,2.7314183089167083,18.404509675135248,13.186588872724927,45.14373378201589,0.5910041292205596,1.5067642843418174,1.288258268871288,22.722404157881783,1.4583569706058988,0.4895128055046798,0.09732263383078552,0.10590605500514534,0.01035933348013351,0.013014746111729968,0.011734389056561894,2.079020330307569,1.9153590483036282,2.1799801579526363,1.631799874259067,1.232703701481631,1.8607759709607323,1.984325399844596,1.3485662013967639,2.1779963959825626,2.024607586987011,2.1755578558509225,1.2560071248190954,1.4905162416302615,2.109360477389719,1.0
14.0,12.0,12.0,38.0,36.0,36.0,14.0,36.0,12.0,14.0,12.0,38.0,40.0,32.0,23.281734756733385,394.75624222542,71.49030954964519,71.44581125756304,397.92582907041424,94.70215365666354,286.83713061595836,293.4757341074014,4.326080823077704,2.28719108110179,1.3349058178711815,6.083701066543243,6.17036689917193,3.757712567042356,4.786569546285567,72.03963743993457,16.032784711358786,8.591179312415157,71.85720988260334,17.54406058582763,54.82630550517495,50.85722521144982,0.9329976089307813,0.5223527887689196,0.24989474949653634,0.9840510423307204,0.7633191145076106,0.4657192618801211,1.1718858170629662,0.6316954633000682,-0.27502047811018304,11.97666952754871,2.2226156676149866,1.4896514908038654,0.31760333192221246,2.140199758889315,-0.21441727189939108,-0.05096957112196954,3.438163905687297,4.519065667442287,9.075696384223168,9.161460919994417,-0.8809651726461005,0.4674515293636442,0.094032722577998,1.6737888721451806,-0.8819141904824558,-0.48358020383497813,0.396504128218042,-0.6974173423001248,-0.23605017172090523,-0.6196867100196433,1.6232008681928716,1.336122967251025,1.1322501954523638,-1.3576456831878467,1.6726136252036243,3.376903736918506,2.3254103703806694,5.555708432667731,2.098359140185802,2.2725342550995227,3.1804440350662024,2.2908448844013622,2.036472842073636,1.6014876770513908,3.7626556297849185,4.115921065535873,5.18241817711817,3.2656424345895596,0.3081796332981373,6.6364987433645295,1.9899085537507284,0.3687922418789251,2.689122274860599,0.45133472464113683,5.093466510652538,1.7866370351293912,0.1021639276674829,0.027252544683792557,0.035416283457511605,0.03660210505626953,0.029759120701865698,0.012461151150594282,1.9811703447982631,1.9580907157983471,2.138689671851338,1.335696725470383,1.826849072080319,1.9117505848359482,2.0128542355337453,1.858484942351035,2.070740503496286,2.120710121659948,1.8173067802132192,1.651232205689474,1.4023886565285648,1.345153128436779,1.0
